SESION;FECHA;TIPO;BOLETIN;SUMA;DETALLE;DIPUTADO;SEXO;PARTIDO;VOTACION;COMISION;INFORME;TRAMITE;PERIODO
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Pacheco Rivas Clemira;Femenino;PS;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Sabag Villalobos Jorge;Masculino;DC;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
84;22-03-2017;GENERAL;11163-31;Modifica la ley N°20.422, que Establece normas sobre igualdad de oportunidades e inclusión social de personas con discapacidad, para garantizar el acceso de las personas sordas e hipoacúsicas a la totalidad de la programación televisiva;;Sepúlveda Orbenes Alejandra;Femenino;IND;A FAVOR;Desarrollo Social;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Andrade Lara Osvaldo;Masculino;PS;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Barros Montero Ramón;Masculino;UDI;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Becker Alvear Germán;Masculino;RN;NO VOTA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Bellolio Avaria Jaime;Masculino;UDI;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Boric Font Gabriel;Masculino;IND;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Carmona Soto Lautaro;Masculino;PC;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;De Mussy Hiriart Felipe;Masculino;UDI;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Gahona Salazar Sergio;Masculino;UDI;NO VOTA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Girardi Lavín Cristina;Femenino;PPD;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;González Torres Rodrigo;Masculino;PPD;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Hoffmann Opazo María José;Femenino;UDI;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Jackson Drago Giorgio;Masculino;RD;ABSTENCION;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Jiménez Fuentes Tucapel;Masculino;PPD;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Melero Abaroa Patricio;Masculino;UDI;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Monckeberg Bruner Cristián;Masculino;RN;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Poblete Zapata Roberto;Masculino;IND;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Provoste Campillay Yasna;Femenino;DC;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Robles Pantoja Alberto;Masculino;PR;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Vallejo Dowling Camila;Femenino;PC;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Vallespín López Patricio;Masculino;DC;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
256;04-04-2017;GENERAL;11132-04;Posterga la entrada en vigencia de la nueva estructura curricular establecida en la ley N° 20.370;;Venegas Cárdenas Mario;Masculino;DC;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
129;04-04-2017;GENERAL;8750-13;Modifica Código del Trabajo y establece sistema de elección directa, en las organizaciones sindicales.;;Walker Prieto Matías;Masculino;DC;A FAVOR;Trabajo;Discusión general;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Arriagada Macaya Claudio;Masculino;DC;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Espinosa Monardes Marcos;Masculino;PR;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Farías Ponce Ramón;Masculino;PPD;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Fernández Allende Maya;Femenino;PS;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Godoy Ibáñez Joaquín;Masculino;AMPL;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Kort Garriga Issa;Masculino;UDI;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Poblete Zapata Roberto;Masculino;IND;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Rathgeb Schifferli Jorge;Masculino;RN;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Teillier Del Valle Guillermo;Masculino;PC;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
105;06-04-2017;GENERAL;10887-06;Declara feriado el 24 de septiembre de cada año en la comuna de El Quisco, para la celebración de la Fiesta de Nuestra Señora de la Merced de El Totoral;;Torres Jeldes Víctor;Masculino;DC;A FAVOR;Cultura y Artes;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Andrade Lara Osvaldo;Masculino;PS;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Barros Montero Ramón;Masculino;UDI;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Bellolio Avaria Jaime;Masculino;UDI;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Boric Font Gabriel;Masculino;IND;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Campos Jara Cristián;Masculino;PPD;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Campos Jara Cristián;Masculino;PPD;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Campos Jara Cristián;Masculino;PPD;NO VOTA;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Carmona Soto Lautaro;Masculino;PC;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;De Mussy Hiriart Felipe;Masculino;UDI;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Edwards Silva Rojo;Masculino;IND;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Gahona Salazar Sergio;Masculino;UDI;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Girardi Lavín Cristina;Femenino;PPD;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;González Torres Rodrigo;Masculino;PPD;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Gutiérrez Pino Romilio;Masculino;UDI;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Hernández Hernández Javier;Masculino;UDI;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Hernández Hernández Javier;Masculino;UDI;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Hoffmann Opazo María José;Femenino;UDI;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Jackson Drago Giorgio;Masculino;RD;EN CONTRA;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Jarpa Wevar Carlos Abel;Masculino;PR;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Jarpa Wevar Carlos Abel;Masculino;PR;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Jiménez Fuentes Tucapel;Masculino;PPD;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Kort Garriga Issa;Masculino;UDI;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Kort Garriga Issa;Masculino;UDI;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Melero Abaroa Patricio;Masculino;UDI;NO VOTA;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Mirosevic Verdugo Vlado;Masculino;PL;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Mirosevic Verdugo Vlado;Masculino;PL;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Molina Oliva Andrea;Femenino;UDI;NO VOTA;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Molina Oliva Andrea;Femenino;UDI;NO VOTA;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Monckeberg Bruner Cristián;Masculino;RN;NO VOTA;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Monckeberg Díaz Nicolás;Masculino;RN;NO VOTA;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
130;11-04-2017;GENERAL;11012-13;Establece normas que incentivan mejoras de las condiciones de remuneraciones y empleo de los trabajadores que se desempeñan en empresas que prestan servicios externalizados a las municipalidades, en recolección, transporte o disposición final de residuos sólidos domiciliarios;;Pascal Allende Denise;Femenino;PS;A FAVOR;Trabajo;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Poblete Zapata Roberto;Masculino;IND;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Provoste Campillay Yasna;Femenino;DC;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
257;11-04-2017;GENERAL;10783-04;Sobre Educación Superior;;Robles Pantoja Alberto;Masculino;PR;A FAVOR;Educación;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Rocafull López Luis;Masculino;PS;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Rocafull López Luis;Masculino;PS;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11172-10;Aprueba el Segundo Protocolo Modificatorio del Protocolo Adicional al Acuerdo Marco de la Alianza del Pacífico, suscrito entre la República de Colombia, la República de Chile, los Estados Unidos Mexicanos y la República del Perú, en Puerto Varas, Chile, el 1 de julio de 2016;;Sabag Villalobos Jorge;Masculino;DC;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
94;11-04-2017;GENERAL;11167-10;Aprueba el Convenio de Transporte Aéreo entre el Gobierno de la República de Chile y el Gobierno de la República Cooperativa de Guyana, suscrito en Santiago, Chile, el 24 de octubre de 2016;;Sabag Villalobos Jorge;Masculino;DC;A FAVOR;Relaciones Exteriores;Primer informe de comisión;Primer trámite constitucional;2014-2018
